iter	Passed	Remaining
0	166	166509
1	177	88666
2	187	62447
3	197	49259
4	207	41264
5	217	36025
6	226	32146
7	236	29300
8	245	27087
9	256	25382
10	266	23964
11	276	22790
12	288	21939
13	301	21254
14	313	20604
15	325	20008
16	337	19487
17	349	19049
18	361	18640
19	375	18389
20	388	18122
21	401	17834
22	413	17580
23	426	17337
24	438	17112
25	449	16839
26	459	16570
27	470	16327
28	480	16100
29	490	15874
30	504	15754
31	516	15609
32	529	15526
33	544	15466
34	560	15456
35	575	15404
36	590	15364
37	605	15332
38	621	15319
39	636	15268
40	650	15224
41	664	15154
42	681	15173
43	695	15106
44	707	15005
45	721	14966
46	740	15021
47	753	14938
48	764	14842
49	780	14823
50	794	14788
51	811	14800
52	829	14830
53	846	14833
54	864	14851
55	880	14836
56	894	14791
57	908	14747
58	920	14684
59	934	14634
60	945	14552
61	956	14467
62	967	14385
63	978	14305
64	989	14233
65	999	14150
66	1010	14078
67	1021	14001
68	1031	13922
69	1042	13855
70	1053	13778
71	1063	13710
72	1074	13645
73	1084	13572
74	1095	13510
75	1106	13447
76	1116	13379
77	1126	13318
78	1137	13260
79	1147	13201
80	1158	13146
81	1169	13088
82	1179	13029
83	1190	12977
84	1202	12943
85	1218	12949
86	1230	12917
87	1243	12890
88	1257	12868
89	1271	12852
90	1283	12824
91	1296	12793
92	1308	12764
93	1321	12740
94	1334	12713
95	1346	12676
96	1357	12637
97	1368	12592
98	1376	12530
99	1385	12473
100	1395	12423
101	1406	12380
102	1416	12340
103	1427	12297
104	1438	12258
105	1448	12217
106	1459	12177
107	1469	12136
108	1479	12096
109	1490	12063
110	1501	12027
111	1511	11981
112	1521	11941
113	1532	11908
114	1542	11870
115	1553	11838
116	1563	11801
117	1574	11766
118	1585	11737
119	1595	11703
120	1606	11671
121	1618	11645
122	1628	11609
123	1639	11579
124	1650	11550
125	1660	11521
126	1671	11491
127	1682	11460
128	1694	11442
129	1706	11423
130	1718	11401
131	1731	11383
132	1741	11354
133	1754	11338
134	1767	11328
135	1785	11340
136	1802	11353
137	1819	11364
138	1838	11385
139	1854	11389
140	1867	11379
141	1883	11377
142	1897	11371
143	1912	11370
144	1925	11351
145	1935	11321
146	1946	11293
147	1957	11266
148	1967	11235
149	1977	11205
150	1987	11176
151	1999	11153
